"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","User should not be able to create project with root as parent","Surefire suite","Thu Nov 06 22:05:58 UTC 2025","passed","Thu Nov 06 22:05:58 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesProjectInRoot"
"","94","System Admin should not able to create project without id field","Surefire suite","Thu Nov 06 22:05:57 UTC 2025","passed","Thu Nov 06 22:05:57 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutIdTest"
"","160","System Admin should not able to create project without id field","Surefire suite","Thu Nov 06 22:05:57 UTC 2025","passed","Thu Nov 06 22:05:57 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithoutIdTest"
"","246","System Admin should be able to create project with same parent and source projects","Surefire suite","Thu Nov 06 22:05:51 UTC 2025","passed","Thu Nov 06 22:05:51 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithSameParentAndSourceTest"
"","212","System Admin should not be able to create project with wrong content in content type header","Surefire suite","Thu Nov 06 22:05:56 UTC 2025","passed","Thu Nov 06 22:05:56 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithWrongInfoInContentHeaderTest"
"","1925","Project Admin should be able to create project with granted project as parent","Surefire suite","Thu Nov 06 22:05:43 UTC 2025","passed","Thu Nov 06 22:05:45 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","projectAdminCreatesSubproject"
"","87","User should not be able to create project with root as parent","Surefire suite","Thu Nov 06 22:05:58 UTC 2025","passed","Thu Nov 06 22:05:58 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesProjectInRoot"
"","127","User should not be able to create subproject","Surefire suite","Thu Nov 06 22:06:00 UTC 2025","passed","Thu Nov 06 22:06:00 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","userCreatesSubproject"
"","91","System Admin should not be able to create project with invalid id","Surefire suite","Thu Nov 06 22:05:49 UTC 2025","passed","Thu Nov 06 22:05:49 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithInvalidIdTest"
"","71","System Admin should not be able to create project with invalid name","Surefire suite","Thu Nov 06 22:05:51 UTC 2025","passed","Thu Nov 06 22:05:51 UTC 2025","com.example.teamcity.api.NewProjectTest","Surefire test","com.example.teamcity.api.NewProjectTest","systemAdminCreatesProjectWithNameMalformationsTest"
